Rack,Row,Column,Pair ID,Date,month.clutch,month,clutch.age,clutch.ID,M.A,Fed1.0,M.mouth,M.fan,M.bite,M.chase,M.tend,M.prop.tend,M.F
A,3,3,A33,16-Apr,2,10,4,29,A,-0.5,5,0,0,0,0.588116667,0.039207778,1
A,3,3,A33,19-Apr,2,10,7,29,A,-0.5,15,0,0,0,1.625383333,0.108358889,1
C,2,3,C23,8-Apr,2,10,1,30,A,-0.5,7,0,0,0,3.7792,0.251946667,1
C,2,3,C23,11-Apr,2,10,4,30,A,-0.5,2,0,0,0,3.22745,0.215163333,1
C,2,3,C23,14-Apr,2,10,7,30,A,-0.5,4,0,0,0,2.114716667,0.140981111,1
C,2,5,C25,17-Apr,2,10,1,31,A,-0.5,2,0,0,0,1.5969,0.10646,1
C,2,5,C25,20-Apr,2,10,4,31,A,-0.5,0,0,0,1,0.295733333,0.019715556,1
C,2,5,C25,23-Apr,2,10,7,31,A,-0.5,1,0,0,0,2.836083333,0.189072222,1
C,3,4,C34,10-Apr,2,10,1,32,A,-0.5,4,0,0,0,0.60985,0.040656667,1
C,3,4,C34,13-Apr,2,10,4,32,A,-0.5,0,0,0,0,0.329816667,0.021987778,1
C,3,4,C34,16-Apr,2,10,7,32,A,-0.5,0,0,0,0,0.166,0.011066667,1
D,1,2,D12,6-Apr,2,10,1,33,A,-0.5,0,0,1,4,4.347416667,0.289827778,1
D,1,2,D12,9-Apr,2,10,4,33,A,-0.5,0,0,1,10,3.666133333,0.244408889,1
D,1,2,D12,12-Apr,2,10,7,33,A,-0.5,0,0,0,4,1.475216667,0.098347778,1
D,2,4,D24,16-Apr,2,10,1,34,A,-0.5,0,0,0,4,4.081016667,0.272067778,1
D,2,4,D24,19-Apr,2,10,4,34,A,-0.5,0,0,0,0,1.753716667,0.116914444,1
D,2,4,D24,22-Apr,2,10,7,34,A,-0.5,0,0,0,0,5.157616667,0.343841111,1
A,1,3,A13,24-May,1,12,1,35,A,-0.5,4,0,0,0,0.5954,0.039693333,1
A,1,3,A13,27-May,1,12,4,35,A,-0.5,0,0,0,0,0.791066667,0.052737778,1
A,1,3,A13,30-May,1,12,7,35,A,-0.5,1,0,0,0,0.140783333,0.009385556,1
A,2,4,A24,11-Jun,1,12,1,36,A,-0.5,NA,NA,NA,NA,NA,NA,1
A,2,4,A24,14-Jun,1,12,4,36,A,-0.5,3,0,0,0,0.678866667,0.045257778,1
A,2,4,A24,17-Jun,1,12,7,36,A,-0.5,0,0,0,0,0.553266667,0.036884444,1
A,3,3,A33,21-May,1,12,1,37,A,-0.5,3,0,0,0,0.435866667,0.029057778,1
